files;accuracy;mean(f1);mean(prec);mean(recall)
000005575618;0.9620253164556962;0.7465034965034966;0.7210401891252954;0.8275862068965517
000005576691;0.8982456140350877;0.5029989094874591;0.4659973226238286;0.5947474747474747
000005576949;0.9057971014492754;0.37252177135445613;0.35975609756097565;0.48507462686567165
000005562756;0.9162790697674419;0.603298611111111;0.5990942028985508;0.6108333333333333
000005546458;0.9086538461538461;0.4620975639613172;0.4238095238095238;0.6511437908496732
000005590703;0.9647218453188603;0.6398310720936419;0.6247632575757576;0.6609432234432234
000005574908;0.9271844660194175;0.4697637409719672;0.4277777777777778;0.6542904290429042
000005554284;0.9190751445086706;0.15963855421686746;0.16666666666666666;0.1531791907514451
000005559727;0.9655765920826161;0.6732329277212581;0.6043478260869565;0.8291814946619217
000005566912;0.8743169398907104;0.1553588987217306;0.1605691056910569;0.15047619047619046
000005557879;0.9318181818181818;0.40294563233825703;0.3592592592592592;0.5737994350282486
000005545513;0.8956228956228957;0.21291291291291292;0.20399628252788105;0.23601398601398602
000005545800;0.9095744680851063;0.4780389363722697;0.43753501400560224;0.6537753222836096
000005455680;0.9219330855018587;0.34760498687664043;0.34933035714285715;0.34656084656084657
000005571803;0.9226804123711341;0.404108309990663;0.3611111111111111;0.48655913978494625
000005564699;0.9515418502202643;0.5626984126984128;0.5436353829557713;0.5929906542056075
000005547436;0.8714285714285714;0.25096862892138483;0.3253119429590018;0.21958762886597938
000005568037;0.9595959595959596;0.8795019157088122;0.8333333333333331;0.9925093632958801
000005547378;0.9728867623604466;0.8791062162448374;0.8264618547281865;0.9542349726775957
000005575356;0.9221556886227545;0.560513643659711;0.5405629139072848;0.6557632398753894
000005484682;0.9145299145299145;0.15948601662887377;0.1613149847094801;0.1576980568011958
000005576335;0.9460431654676259;0.47877604166666665;0.4437777777777778;0.5750636132315522
000005571569;0.8939393939393939;0.5026365348399247;0.456858407079646;0.6517615176151762
000005575482;0.9045936395759717;0.24215317011927182;0.2215660542432196;0.31889290012033694
000005574906;0.9153439153439153;0.46906796906796905;0.4277777777777778;0.6530054644808744
000005498604;0.9505703422053232;0.4819979159811341;0.44047619047619047;0.6586384071933206
000005576324;0.9276729559748428;0.4490473495566874;0.4065850815850816;0.6556655665566556
000005558877;0.9175824175824175;0.270791749833666;0.2489648033126294;0.3208092485549133
000005590479;0.9725490196078431;0.9737849779086893;0.9576388888888889;0.9959183673469387
000005547677;0.9726688102893891;0.7145720717744032;0.6726190476190476;0.828680897646415
000005554502;0.9538152610441767;0.16271069831441348;0.16666666666666666;0.15893817204301075
000005572724;0.9592641261498029;0.8313745356298546;0.7844827586206896;0.9930555555555555
000005547009;0.9674329501915708;0.7749585406301825;0.7589225589225589;0.8003267973856208
000005568734;0.9090909090909091;0.7171465485418974;0.6778673835125448;0.818407960199005
000005542260;0.9510869565217391;0.4956268221574344;0.4970588235294118;0.49421965317919075
000005582521;0.9287671232876712;0.16141356255969436;0.1637596899224806;0.1591337099811676
000005568067;0.9335038363171355;0.5469060523938573;0.4876283846872082;0.7668416447944008
000005546752;0.9197080291970803;0.4371980676328502;0.4126344086021505;0.48966408268733846
000005451799;0.9277456647398844;0.39395770392749246;0.3734472049689441;0.4897058823529412
000005567323;0.9671532846715328;0.3638311279143038;0.3320610687022901;0.41229712858926343
000005559132;0.9686346863468634;0.7528390327048046;0.7272727272727272;0.8279874213836478
000005571437;0.9518072289156626;0.6900294334069169;0.6655405405405405;0.7424242424242425
000005550745;0.9444444444444444;0.3576388888888889;0.30414908579465544;0.4945130315500686
000005568115;0.9875;0.9654929577464788;0.9444444444444443;0.9976689976689976
000005590678;0.9772329246935202;0.7202614379084967;0.6666666666666666;0.8294573643410853
000005552346;0.944206008583691;0.5283294842186298;0.4861111111111111;0.6569506726457399
000005574993;0.9297297297297298;0.5001044277360066;0.48611111111111116;0.6137005649717514
000005547921;0.9525368248772504;0.5792476754015216;0.5555555555555555;0.6586908690869087
000005582678;0.9608540925266904;0.37994454713493536;0.33270676691729323;0.49393939393939396
000005564525;0.9617224880382775;0.6910256410256409;0.6388888888888888;0.8266331658291457
000005563936;0.9657142857142857;0.8618946517035688;0.7916666666666666;0.99375
000005549697;0.9174311926605505;0.25462320850670367;0.2333333333333333;0.31937984496124033
000005572891;0.9655172413793104;0.725528832222544;0.7326474622770919;0.7724444444444444
000005558220;0.946078431372549;0.6117515638963361;0.5416666666666666;0.8237847222222223
000005486275;0.9350180505415162;0.6088474545288365;0.6025862068965517;0.6985754985754986
000005543300;0.910828025477707;0.6923976608187136;0.6515612327656123;0.8198198198198199
000005568300;0.9362549800796812;0.4943977591036415;0.4992784992784993;0.489795918367347
000005547356;0.9720149253731343;0.7198206852385526;0.6666666666666666;0.8285984848484849
000005563569;0.954954954954955;0.7125412541254126;0.6666666666666666;0.8252818035426731
000005473508;0.9541284403669725;0.1627172195892575;0.1619496855345912;0.1634920634920635
000005468857;0.9025974025974026;0.32525951557093424;0.32636469221835074;0.3241695303550974
